#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:true_alignment" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:true_alignment" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:true_alignment" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#                <parameter id="growthRate.t:true_alignment" name="growthRate" spec="beast.core.parameter.RealParameter">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true_alignment" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:true_alignment" name="distribution" x="@ePopSize.t:true_alignment">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:true_alignment" name="distribution" x="@growthRate.t:true_alignment">
#            <LaplaceDistribution id="LaplaceDistribution.101" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mu" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="scale" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <prior id="KappaPrior.s:true_alignment" name="distribution">
#            <parameter id="kappa.s:true_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:true_alignment" name="distribution">
#            <parameter id="ucldStdev.c:true_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:true_alignment" kappa="@kappa.s:true_alignment" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:true_alignment" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:true_alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:true_alignment">
#                <LogNormal S="@ucldStdev.c:true_alignment" id="LogNormalDistributionModel.c:true_alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:true_alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	CoalescentExponential	ePopSize	growthRate
0	-904.7775046165401	-878.8173114008727	-25.96019321566746	-878.8173114008727	3.6143155564587808	2.0	0.25	0.25	0.25	0.25	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-25.424722950579962	0.3	3.0E-4
1000	-833.799936925279	-818.6288554236384	-15.17108150164064	-818.6288554236384	1.4443921976412806	2.0	0.25	0.2510965478418863	0.2489034521581137	0.25	0.6898533460723533	1.1427896887308606	0.4854051009365563	0.6321634193586138	-9.69047729018421	1.3749920898761456	0.9893155381618111
2000	-825.2474943210658	-815.2197268728013	-10.027767448264502	-815.2197268728013	1.462218829680363	1.341267004471375	0.2555616385962637	0.24661996352906054	0.24566527033182478	0.25215312754285096	0.1216444936203314	1.0097816580291483	0.013408637307412957	0.11339006149182605	-6.439782465705822	2.6237032182721203	1.0073615510692449
3000	-825.4666037997856	-813.6130724285526	-11.853531371232924	-813.6130724285526	1.0332846263689042	1.341267004471375	0.2555616385962637	0.24330083951682283	0.2489843943440625	0.25215312754285096	0.02822193975308656	0.9933759112397115	7.427143008600356E-4	0.02714090912209131	-5.595214688048845	5.626983727475044	3.8319780004085215
4000	-833.834914741836	-819.2135046401525	-14.621410101683516	-819.2135046401525	1.2178662987300757	1.433512828546092	0.2555616385962637	0.23677448705599832	0.2489843943440625	0.25867948000367547	0.613231014627283	0.8631670642089482	0.11827238361233075	0.42335835720229903	-2.6628790127980446	41.9246582677931	4.536787435279809
5000	-828.3969015511226	-816.1770215481683	-12.219880002954207	-816.1770215481683	1.2691296396186222	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2441401289714919	0.25867948000367547	0.13132443925307163	0.9901081394120159	0.022894007932871847	0.14696735458332627	-3.5362104989389147	21.668273228328896	4.069677751697165
6000	-827.5292104989873	-815.3825298364027	-12.146680662584522	-815.3825298364027	0.9569982609569004	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2441401289714919	0.25867948000367547	0.09907451982892908	0.9958697576458786	0.002356971247982645	0.04885687361287491	-2.903702868892042	32.952147397865566	4.423964795197049
7000	-823.9403268410252	-813.436789135264	-10.503537705761273	-813.436789135264	1.081026776500769	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2509997192613538	0.2518198897138136	0.009913414105804211	0.9952880610186091	4.478982395313122E-5	0.006738358861908916	-1.9962151016643694	33.99892738933256	4.950337411936943
8000	-830.3912592611393	-818.7657041610535	-11.625555100085856	-818.7657041610535	1.182951502613547	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2509997192613538	0.2518198897138136	0.014306748703404473	0.9989132346775845	9.797429189275252E-5	0.009916316417831502	-4.444899034670231	31.925488070570015	3.50619695673765
9000	-824.4411402277968	-813.2965009101322	-11.144639317664666	-813.2965009101322	1.1295671630452981	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2509997192613538	0.2518198897138136	0.009924871757981957	1.0034561252894867	1.2506275644825587E-4	0.0111546118961557	-5.298499357766509	20.389046172302788	2.799924128046782
10000	-828.1374075275603	-813.9423390828197	-14.195068444740578	-813.9423390828197	1.4525276018413964	0.9854592528902817	0.2555616385962637	0.24161875242856892	0.2509997192613538	0.2518198897138136	0.5378995886900698	1.0256208965397653	0.3404298999977585	0.5888462120688888	-6.300338465629328	10.722775417465018	2.2704413212554515
11000	-827.944881717485	-817.3665067083305	-10.578375009154538	-817.3665067083305	1.8667623606582913	1.4294983899353209	0.25957855479121256	0.24161875242856892	0.2509997192613538	0.2478029735188647	0.013985182082995472	1.000800348051584	7.411590683792676E-5	0.008606588769036649	-6.84775285826172	7.46376388571761	1.3461176079050448
12000	-825.2257530952483	-814.8975441075944	-10.328208987653813	-814.8975441075944	1.0233321508266957	1.4294983899353209	0.25957855479121256	0.24150239786357855	0.24871769546949213	0.25020135187571674	0.01714079445359988	0.9970208940201621	2.65438557727376E-4	0.016293930977823622	-5.669556823587542	4.850523338823556	2.6031835911417947
13000	-826.5925704891755	-814.6346013037987	-11.957969185376808	-814.6346013037987	2.403339865234478	0.9403043033057826	0.2648741528124467	0.24150239786357855	0.24871769546949213	0.2449057538544826	0.022285506520674132	0.9984001779171037	5.482443513095688E-4	0.023397122856992743	-7.632659290276305	11.19155543673094	1.4898938516080766
14000	-828.7820462843058	-817.9332263432659	-10.848819941039899	-817.9332263432659	1.559240962944739	2.0485043814303183	0.2648741528124467	0.23196998882934625	0.24871769546949213	0.2544381628887149	0.044344030067793125	1.0120557141765925	0.001883132919305923	0.04287612690081191	-5.307366303814698	7.803698191015537	2.248400291193919
