Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	CoalescentExponential	ePopSize	growthRate	
0	-8245.39606711307	-8220.29115228235	-25.10491483071886	-8220.29115228235	1.0005609510453204	1.829807143172235	1.1484559229748754	2.2016615160097937	2.1038625606269648	1.7090641862342433	0.24794485657840226	0.256515502841249	0.253144944829745	0.24239469575060363	1.2940997175537043E-4	1.0000223206488181	1.985486882175362E-8	1.4090473721984685E-4	-6.128076707780851	5.5970194312098425	1.7364170105818975	
1	-8245.39606711307	-8220.29115228235	-25.10491483071886	-8220.29115228235	1.0005609510453204	1.829807143172235	1.1484559229748754	2.2016615160097937	2.1038625606269648	1.7090641862342433	0.24794485657840226	0.256515502841249	0.253144944829745	0.24239469575060363	1.2940997175537043E-4	1.0000223206488181	1.985486882175362E-8	1.4090473721984685E-4	-6.128076707780851	5.5970194312098425	1.7364170105818975	
2	-8245.39606711307	-8220.29115228235	-25.10491483071886	-8220.29115228235	1.0005609510453204	1.829807143172235	1.1484559229748754	2.2016615160097937	2.1038625606269648	1.7090641862342433	0.24794485657840226	0.256515502841249	0.253144944829745	0.24239469575060363	1.2940997175537043E-4	1.0000223206488181	1.985486882175362E-8	1.4090473721984685E-4	-6.128076707780851	5.5970194312098425	1.7364170105818975	
3	-8245.363893885658	-8218.633769964079	-26.7301239215792	-8218.633769964079	1.1835097920688977	1.7771253323958989	1.6523698224034478	1.7257478462485374	1.9180096076245374	1.3134344885690343	0.2421257596009149	0.25592787038971665	0.25711676470416495	0.24482960530520337	3.2314878797338624E-4	0.9999963758179566	1.217844764499085E-7	3.4898827740605147E-4	-6.376113834565288	7.1443291566723826	2.7850070477955002	
4	-8244.14042972715	-8216.586723274824	-27.55370645232426	-8216.586723274824	1.0452869922497148	1.257833154005604	1.2767036487229781	2.102783484804544	1.5824859159492435	0.9846136710723253	0.24699584902091615	0.25421575760394816	0.2452637973932551	0.2535245959818805	0.09822691074148991	0.9701862027247592	0.008811598707846069	0.09501229101409105	-6.3030453670028415	7.355747414527374	1.7055652519166968	
5	-8244.14042972715	-8216.586723274824	-27.55370645232426	-8216.586723274824	1.0452869922497148	1.257833154005604	1.2767036487229781	2.102783484804544	1.5824859159492435	0.9846136710723253	0.24699584902091615	0.25421575760394816	0.2452637973932551	0.2535245959818805	0.09822691074148991	0.9701862027247592	0.008811598707846069	0.09501229101409105	-6.3030453670028415	7.355747414527374	1.7055652519166968	
6	-8244.14042972715	-8216.586723274824	-27.55370645232426	-8216.586723274824	1.0452869922497148	1.257833154005604	1.2767036487229781	2.102783484804544	1.5824859159492435	0.9846136710723253	0.24699584902091615	0.25421575760394816	0.2452637973932551	0.2535245959818805	0.09822691074148991	0.9701862027247592	0.008811598707846069	0.09501229101409105	-6.3030453670028415	7.355747414527374	1.7055652519166968	
7	-8244.14042972715	-8216.586723274824	-27.55370645232426	-8216.586723274824	1.0452869922497148	1.257833154005604	1.2767036487229781	2.102783484804544	1.5824859159492435	0.9846136710723253	0.24699584902091615	0.25421575760394816	0.2452637973932551	0.2535245959818805	0.09822691074148991	0.9701862027247592	0.008811598707846069	0.09501229101409105	-6.3030453670028415	7.355747414527374	1.7055652519166968	
8	-8242.79495932378	-8216.024800669858	-26.77015865392292	-8216.024800669858	1.0681502309592052	0.8436957695796637	1.2767036487229781	1.0873038821309475	1.5824859159492435	0.9846136710723253	0.24487853635183746	0.2563330702730268	0.24361991405426506	0.2551684793208705	0.04762418258032883	0.9626417444336295	0.0028085961918121916	0.05452052965832196	-3.2434704544968476	35.87847129844102	4.0116718405969385	
9	-8243.718470805985	-8215.845457283374	-27.873013522609696	-8215.845457283374	1.1879987839002912	0.8434698004752202	1.2767036487229781	1.0873038821309475	1.3401748263862652	0.9988935133274781	0.24487853635183746	0.2608684748380688	0.2401315599240147	0.25412142888607886	0.09282631291530984	0.9525188000423761	0.0050987484459999064	0.07321371766681366	-3.3697260295068627	37.74326104936173	4.679262704856499	
