#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-9894.039663768745	-9888.248248711308	-5.791415057435424	-9888.248248711308	1.9483668159292933	-5.791415057435424	1.0
1000	-7061.934392895628	-7058.395866799292	-3.5385260963357617	-7058.395866799292	1.102250828940929	-3.5385260963357617	1.8688419914635657
2000	-7061.605878904826	-7057.1374654327865	-4.468413472039366	-7057.1374654327865	1.075802534913683	-4.468413472039366	0.6339331425683365
3000	-7064.275403595772	-7058.486790685028	-5.788612910744439	-7058.486790685028	1.1123945266151218	-5.788612910744439	3.4171074033477034
4000	-7063.012286353328	-7059.637265861491	-3.3750204918368256	-7059.637265861491	1.0307797458481116	-3.3750204918368256	2.207078721284167
5000	-7061.304959630672	-7058.013349517153	-3.291610113518433	-7058.013349517153	1.0008979382856298	-3.291610113518433	2.2050084046006715
6000	-7063.976436522052	-7059.962998373008	-4.013438149043445	-7059.962998373008	1.2151274331356403	-4.013438149043445	1.9224535656685717
7000	-7061.539502465302	-7058.600097566772	-2.9394048985294394	-7058.600097566772	0.9832981333295208	-2.9394048985294394	1.6301583139228306
8000	-7060.527525775045	-7057.089750306948	-3.43777546809718	-7057.089750306948	1.0816526272692508	-3.43777546809718	2.0369162293181824
9000	-7067.446039278093	-7064.524197114513	-2.921842163579855	-7064.524197114513	1.0020071424852919	-2.921842163579855	1.306340652957168
10000	-7060.800004866537	-7057.357101633877	-3.4429032326601674	-7057.357101633877	1.0776549818597023	-3.4429032326601674	1.968208657871087
11000	-7066.515263355336	-7062.754414657562	-3.7608486977745446	-7062.754414657562	1.1916791511684206	-3.7608486977745446	0.9531762266140571
12000	-7064.242255504713	-7058.734646996599	-5.507608508114881	-7058.734646996599	1.0869500178975287	-5.507608508114881	0.45242578878817874
13000	-7061.724800651684	-7058.504654523526	-3.2201461281576287	-7058.504654523526	1.0858321739001338	-3.2201461281576287	1.2815372647916108
14000	-7061.171979241708	-7057.449225617107	-3.7227536246007573	-7057.449225617107	1.1419854458010683	-3.7227536246007573	1.9989694984634987
