"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7099.9949805365,6.03267896799893,1.40024925945978e-11,9.18941523677971
"2","GTR","relaxed_log_normal","yule",-7096.14799849514,6.90876055859026,0.000000000656037136329367,4.72741194667836
"3","GTR","strict","birth_death",-7080.19285181412,3.79471053631525,0.00557391813315543,10.5341179634352
"4","GTR","strict","yule",-7095.61468873228,5.99418085913496,0.00000000111825773624666,9.69319289855204
"5","HKY","relaxed_log_normal","birth_death",-7079.2672905709,5.42398392269069,0.0140645786605508,7.43562252423952
"6","HKY","relaxed_log_normal","yule",-7083.53105253182,4.48096237062924,0.000197878420251654,11.5568098703739
"7","HKY","strict","birth_death",-7086.37106269042,4.43956150486415,0.0000115610610384325,7.98438666690337
"8","HKY","strict","yule",-7084.15969827338,5.088099960844,0.000105531244070115,7.04851153793257
"9","JC69","relaxed_log_normal","birth_death",-7075.04393336518,4.28206450712738,0.960080073246575,6.58895701451322
"10","JC69","relaxed_log_normal","yule",-7080.11757692785,4.32300432790867,0.00600968976817699,6.31748881387401
"11","JC69","strict","birth_death",-7079.27567009738,4.49127818122438,0.0139472165573636,7.64287284181677
"12","TN93","relaxed_log_normal","birth_death",-7092.27859111642,6.51999649704801,0.0000000314333520793301,13.0777968003583
"13","TN93","relaxed_log_normal","yule",-7096.01601510783,6.19303446019992,0.000000000748596997702164,8.41597329448186
"14","TN93","strict","birth_death",-7092.58068261355,5.92543283085521,0.0000000232377474148054,8.66205711292235
"15","TN93","strict","yule",-7086.5678661834,5.70406772045111,0.00000949570082444017,6.48971322145669
