#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8871.624363215244	-8864.098115433211	-7.52624778203285	-8864.098115433211	3.014449149014416	0.1	1.000589076717171	0.008035235988096202	0.08765623965772344	-8.345611927153652	1.0	0.5
1000	-7062.3078094030525	-7057.881955717141	-4.425853685911681	-7057.881955717141	1.1661348934142013	0.253081382910145	0.9044185871473338	0.05475013175317695	0.24595165261796992	-4.416876053453068	1.59136868929332	0.24541112895365189
2000	-7061.904054673487	-7054.106269019505	-7.797785653981771	-7054.106269019505	1.1859323955402241	0.4522727420444306	0.8405615476271189	0.1079094785088464	0.3919383339876684	-6.999931725645231	2.4864301338669366	0.40596750102404755
3000	-7057.513926652337	-7053.357973778183	-4.1559528741547025	-7053.357973778183	0.9580897129261584	0.5065506874187168	0.9793996881755628	0.08445605404306884	0.2963070145009706	-3.1637916099840666	0.9779612964036594	0.34903580728848077
4000	-7059.371634797034	-7055.291820473927	-4.0798143231067066	-7055.291820473927	1.0418403052180019	0.3132851827881445	1.0361368902638426	0.09378052328324715	0.2936082997584166	-3.8149432060552124	1.1062783519031523	0.6417911730328033
5000	-7060.355075172477	-7054.837924236873	-5.517150935604126	-7054.837924236873	0.8455620896590247	0.23544763871236585	1.1517888820413382	0.083107970916737	0.277438463614178	-5.587598291512613	1.5603071747349413	0.7917744766623479
6000	-7058.501318569513	-7055.436308948489	-3.0650096210251574	-7055.436308948489	0.9341297577063847	0.23442088873617842	1.0733739454472084	0.03733776256968949	0.1959031626874278	-3.140157630074265	0.7188856558248299	0.46482802990937316
7000	-7060.805785975835	-7056.314765826053	-4.491020149781173	-7056.314765826053	1.046665039287931	0.048366723499470334	0.9885730503019633	0.0025728114147058386	0.051757721323248705	-5.78000062066312	0.35201753740154706	0.950192888547151
8000	-7061.258179165502	-7058.88687709006	-2.371302075442136	-7058.88687709006	0.973254348061364	0.03482552551068669	0.9905422370020943	7.561781501481345E-4	0.027725257056850437	-3.8469636360941957	0.28738049917580083	0.7343544271113516
9000	-7062.300964125633	-7059.45066549173	-2.850298633902999	-7059.45066549173	1.2477951114859382	0.0913422485351107	0.9304680158671489	0.004843770247929328	0.07270417485072272	-3.7340253174010223	0.7305086668696825	0.45841235263675006
10000	-7060.804299944637	-7057.431301922426	-3.3729980222109397	-7057.431301922426	1.0947778988472938	0.07501610335732037	0.992410671143808	0.004784705504423174	0.06845620384123559	-4.390132147402543	0.4497255720405493	0.3960236975007131
11000	-7062.1193591326	-7059.109057150493	-3.0103019821070927	-7059.109057150493	1.0384276188444228	0.16311825273830713	1.0443872400566916	0.024261660530561363	0.14402400329104334	-3.4391157062973376	0.4851352626307571	0.8167923993785543
12000	-7061.572510260569	-7059.006300156066	-2.566210104503497	-7059.006300156066	0.9432820514735901	0.17306836231764497	1.0861195315535828	0.026492147003473916	0.1524243929737698	-2.941708736996106	1.0046781567912675	0.44156186207160697
13000	-7062.166357818264	-7059.770254521044	-2.3961032972200638	-7059.770254521044	0.9952028916850371	0.09280034163362362	0.9698503554936124	0.007220732648704033	0.08831134704982	-3.2687206764409886	1.1352124019026586	0.3721806404023314
14000	-7064.164257948608	-7060.768058159294	-3.396199789313612	-7060.768058159294	0.9463126410825646	0.025821174903409922	0.9992947744905059	6.843632016700969E-4	0.02620301146402369	-5.0331704148264	0.30845800185885625	0.45651962802687257
