#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-10075.368823100873	-10075.829307264929	0.4604841640555614	-10075.829307264929	0.4423001473067933	0.1	1.0233491326632758	0.010511888144299823	0.10203232423737496	-0.3588799810652406	1.0	0.5
1000	-8167.922179470206	-8162.650631703783	-5.271547766423528	-8162.650631703783	0.9440967583882786	0.13726272687187213	0.9160950566790701	0.017301946053144487	0.13877545731833782	-5.847519028906159	1.2326334335332272	0.11169135109480716
2000	-8159.035739554962	-8153.549183120125	-5.486556434836756	-8153.549183120125	0.8967360828960821	0.27659248141473625	1.013893232161515	0.03967552069962126	0.18138602613675192	-5.3751160754103395	1.4021337355340853	0.05671448128542027
3000	-8160.8799459212605	-8156.33043484825	-4.549511073010327	-8156.33043484825	0.9750887612845994	0.0802337529457282	0.9654293584107353	0.0033022174501637453	0.05887818023850107	-5.5220248738415325	0.716565235583118	0.059354301275705484
4000	-8160.542155706243	-8155.294044036256	-5.248111669986379	-8155.294044036256	1.0144723966557498	0.1964710054569689	0.9383562417411582	0.03328307415801676	0.19354242967123586	-5.503939097804166	0.996454675002243	0.07210089060002901
5000	-8163.670957590839	-8158.464117414326	-5.206840176512453	-8158.464117414326	1.0527398204920566	0.12287753751110812	0.9466997773352226	0.007449966223395703	0.08828454910880111	-5.871449090976044	0.6811312166706249	0.18067713174665892
6000	-8161.86894043381	-8156.851387971124	-5.017552462686952	-8156.851387971124	0.9974906733777761	0.1431245113748274	0.9829745979057819	0.013546224542405267	0.11482956458466374	-5.558921642209726	0.7018536474751772	0.10727347795757652
7000	-8165.657760601506	-8161.490194059445	-4.167566542061337	-8161.490194059445	1.0073636481938493	0.05772727646662242	1.0212239798617484	0.002148297604317127	0.045928718854328476	-5.350583601610081	0.6798464546540318	0.0903435817543169
8000	-8160.337904363412	-8156.370062302961	-3.9678420604513547	-8156.370062302961	0.9397015046047138	0.022199635838522948	1.014833377103595	5.883772882290614E-4	0.024108046323623983	-5.683870826116134	0.5382551599289764	0.08950275118139911
9000	-8158.364889234881	-8153.90105431185	-4.463834923030404	-8153.90105431185	0.9702189863743713	0.07401867002305243	0.9664574692918048	0.003865374610455666	0.06311987949480917	-5.489743471881592	1.1312671087699147	0.06861137403298946
10000	-8160.668472104719	-8157.39115578516	-3.2773163195587336	-8157.39115578516	0.9300576854934718	0.009909067264778661	1.0033689252738975	5.710422728763957E-5	0.007551808178632522	-5.396898227971413	0.6530870644160331	0.09423301858496029
11000	-8162.086283537657	-8157.025997566077	-5.0602859715797175	-8157.025997566077	0.9294716022763635	0.07485966982516258	1.030946953667451	0.005661189957141195	0.07542282039500094	-6.078790805477892	1.5894508469036537	0.14439243806147165
12000	-8163.443362008603	-8158.16960459305	-5.273757415552512	-8158.16960459305	0.9286228076927923	0.216612867491329	1.070207861628638	0.026496653365416775	0.1528632153559947	-5.431910048457546	1.0697182687309643	0.15670622700570616
13000	-8171.845559774211	-8166.493859981886	-5.351699792325025	-8166.493859981886	1.1543062155872603	0.12634930415516923	0.9627530947656875	0.010584309588134489	0.10777875513162075	-5.994390223131653	0.7885053203336074	0.053795565044758874
14000	-8161.504949878283	-8157.048530376793	-4.45641950149026	-8157.048530376793	0.9405784282397316	0.12161532220660662	0.9757302877746045	0.007171178368358168	0.09006136055288493	-5.1290872607143925	0.886604516102486	0.05119148922477399
