Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-15094.32472969983	-15089.28177280797	N	-15094.32472969983	5.042956891861632
1	-8660.044667841608	-8669.618084445387	2.0	-8660.044667841608	-9.57341660377784
2	-8027.73139828328	-8039.462337960876	3.0	-8027.73139828328	-11.730939677595705
3	-7953.192702375583	-7958.815159770389	4.0	-7953.192702375583	-5.622457394805499
4	-7677.574398215382	-7682.590681158228	5.0	-7677.574398215382	-5.016282942846754
5	-7343.446961908702	-7350.830683250918	5.8	-7343.446961908702	-7.383721342215765
6	-7097.862899801571	-7104.364748367183	5.7	-7097.862899801571	-6.501848565611995
7	-7062.390167882852	-7070.68634770213	5.8	-7062.390167882852	-8.296179819277413
8	-7024.962581581034	-7034.448080007028	6.1	-7024.962581581034	-9.485498425993537
9	-6993.002040399161	-6999.497274390269	2.7	-6993.002040399161	-6.4952339911076615
10	-6943.087918588135	-6951.484368582704	2.9	-6943.087918588135	-8.396449994568574
11	-6875.929440315481	-6885.377540940777	2.9	-6875.929440315481	-9.448100625296739
12	-6828.772610539489	-6836.793877778394	3.0	-6828.772610539489	-8.021267238905411
13	-6824.74165879392	-6832.109424263678	3.0	-6824.74165879392	-7.36776546975859
14	-6818.200015969473	-6825.577537973584	3.1	-6818.200015969473	-7.377522004111372
15	-6784.972350667162	-6789.855347824123	3.2	-6784.972350667162	-4.882997156960975
16	-6776.842552387103	-6782.932616191295	3.4	-6776.842552387103	-6.090063804191713
17	-6761.85346156804	-6768.25715444405	3.5	-6761.85346156804	-6.403692876009671
18	-6749.835362720267	-6756.475177454466	3.6	-6749.835362720267	-6.639814734199246
19	-6730.622549609408	-6736.6416882791955	3.5	-6730.622549609408	-6.01913866978737
20	-6727.345140211257	-6732.377669558004	3.6	-6727.345140211257	-5.032529346746439
21	-6726.882781500063	-6733.265442182498	3.6	-6726.882781500063	-6.3826606824352705
22	-6724.764561879074	-6732.25896398434	3.7	-6724.764561879074	-7.494402105265805
23	-6724.320470239977	-6730.083468334537	3.8	-6724.320470239977	-5.76299809456042
24	-6716.905813996481	-6723.53003817509	3.9	-6716.905813996481	-6.62422417860927
25	-6716.590608086653	-6725.225435380328	3.9	-6716.590608086653	-8.634827293675183
26	-6715.9824722016	-6722.6939530315285	4.0	-6715.9824722016	-6.711480829928033
27	-6715.87841831243	-6726.494583518247	4.1	-6715.87841831243	-10.616165205817097
28	-6711.967774705373	-6718.648329566947	4.2	-6711.967774705373	-6.6805548615740085
29	-6709.356615179162	-6718.422693848402	4.4	-6709.356615179162	-9.066078669239584
