Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7918.911632349187	3.3	-7911.197231440934	-7.714400908253303	
1	-7913.372826359745	3.3	-7905.863318048621	-7.5095083111234455	
2	-7913.372826359745	3.3	-7905.863318048621	-7.5095083111234455	
3	-7913.372826359745	3.3	-7905.863318048621	-7.5095083111234455	
4	-7913.372826359745	3.3	-7905.863318048621	-7.5095083111234455	
5	-7915.9294565545	3.5	-7904.728154805963	-11.20130174853704	
6	-7915.9294565545	3.5	-7904.728154805963	-11.20130174853704	
7	-7910.6331641904235	3.6	-7902.33727683582	-8.295887354603341	
8	-7910.6331641904235	3.6	-7902.33727683582	-8.295887354603341	
9	-7908.2977744115615	3.7	-7901.013635024616	-7.284139386945717	
10	-7906.61872477254	4.0	-7899.126666313548	-7.492058458992058	
11	-7905.041168700234	4.2	-7897.400281582626	-7.640887117608598	
12	-7904.422337571119	4.2	-7896.928885348974	-7.493452222144386	
