Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6471.884181940206	3.4	-6466.139020999971	-5.745160940235447	
1	-6471.884181940206	3.4	-6466.139020999971	-5.745160940235447	
2	-6471.367929723628	3.4	-6465.5613426410455	-5.806587082582587	
3	-6471.2266165876745	3.5	-6465.248063256144	-5.978553331531072	
4	-6469.521783215049	3.6	-6463.604914875281	-5.91686833976841	
5	-6468.515355966933	3.6	-6462.799908184724	-5.715447782209843	
6	-6468.515355966933	3.6	-6462.799908184724	-5.715447782209843	
7	-6464.810440524937	4.1	-6459.400622428753	-5.4098180961834235	
